movie_id,character_name,gender,archetype
70160,Katniss Everdeen,1,
70160,Peeta Mellark,2,
70160,Gale Hawthorne,2,
70160,Haymitch Abernathy,2,
70160,Effie Trinket,1,
70160,Cinna,2,
70160,Caesar Flickerman,2,
70160,President Snow,2,
70160,Seneca Crane,2,
70160,Claudius Templesmith,2,
70160,Cato,2,
70160,Clove,1,
70160,Rue,1,
70160,Primrose Everdeen,1,
70160,Hob Vendor,1,
70160,Katniss' Mother,1,
70160,Registration Woman,1,
70160,Propaganda Film Tribute,0,
70160,Peeta's Mother,1,
70160,Venia,1,
70160,Flavius,2,
70160,Octavia,1,
70160,Thresh,2,
70160,Glimmer,1,
70160,Marvel,2,
70160,Portia,1,
70160,Tribute Boy District 3,2,
70160,Tribute Girl District 3,1,
70160,Tribute Boy District 4,0,
70160,Fox Face,0,
70160,Tribute Girl District 8,1,
70160,Tribute Boy District 9,0,
70160,Tribute Girl District 9,1,
70160,Tribute Girl District 10,0,
70160,Avox Girl,0,
70160,Atala,0,
70160,Hovercraft Tech,1,
70160,Katniss' Father,0,
70160,Martha,1,
70160,Coal Miner,0,
