movie_id, character_name, gender, archetype
8587,Simba (voice),2
8587,King Mufasa (voice),2
8587,Scar (voice),2
8587,Zazu the Hornbill (voice),2
8587,Young Nala (voice),1
8587,ED the Hyena (voice),2
8587,Shenzi the Hyena (voice),1
8587,Rafiki (voice),2
8587,Nala (voice),1
8587,Timon (voice),2
8587,Sarafina, Nala's Mother (voice),1
8587,Banzai the Hyena (voice),2
8587,Pumbaa (voice),2
8587,Sarabi, Simba's Mother (voice),1
8587,Young Simba (voice),2
8587,Lion Roars (voice),2
8587,(voice),1
8587,Additional Voices (voice) (uncredited),0
8587,Additional Voices (voice) (uncredited),0
8587,Additional Voices (voice) (uncredited),2
8587,Additional Voices (voice) (uncredited),1
8587,Additional Voices (voice) (uncredited),2
8587,Additional Voices (voice) (uncredited),2
8587,Adult Nala (singing voice),1
8587,Young Simba - in 'Morning Report' (singing voice) (uncredited),0
8587,Fighting Hyena (voice) (uncredited),2
8587,Young Simba (singing voice),2
8587,Adult Simba (singing voice),2
8587,Young Nala (singing voice),0
8587,Rey Mufasa (spanish version),2
8587,Simba adulto (spanish version),0
8587,Scar (spanish version),0
